,min,Q1,median,Q3,max
ID,1,7500.75,15000.5,22500.25,30000
LIMIT_BAL,10000,50000.0,140000.0,240000.0,1000000
SEX,1,1.0,2.0,2.0,2
EDUCATION,0,1.0,2.0,2.0,6
MARRIAGE,0,1.0,2.0,2.0,3
AGE,21,28.0,34.0,41.0,79
PAY_0,-2,-1.0,0.0,0.0,8
PAY_2,-2,-1.0,0.0,0.0,8
PAY_3,-2,-1.0,0.0,0.0,8
PAY_4,-2,-1.0,0.0,0.0,8
PAY_5,-2,-1.0,0.0,0.0,8
PAY_6,-2,-1.0,0.0,0.0,8
BILL_AMT1,-165580,3558.75,22381.5,67091.0,964511
BILL_AMT2,-69777,2984.75,21200.0,64006.25,983931
BILL_AMT3,-157264,2666.25,20088.5,60164.75,1664089
BILL_AMT4,-170000,2326.75,19052.0,54506.0,891586
BILL_AMT5,-81334,1763.0,18104.5,50190.5,927171
BILL_AMT6,-339603,1256.0,17071.0,49198.25,961664
PAY_AMT1,0,1000.0,2100.0,5006.0,873552
PAY_AMT2,0,833.0,2009.0,5000.0,1684259
PAY_AMT3,0,390.0,1800.0,4505.0,896040
PAY_AMT4,0,296.0,1500.0,4013.25,621000
PAY_AMT5,0,252.5,1500.0,4031.5,426529
PAY_AMT6,0,117.75,1500.0,4000.0,528666
defaulter,0,0.0,0.0,0.0,1
